Siren;Raison Sociale
263000176;CENTRE HOSPITALIER ALES-CEVENNES
267400844;CENTRE HOSPITALIER ALPES-LEMAN
263707077;CENTRE HOSPITALIER AMBOISE CHATEAU RENAU
264100033;CENTRE HOSPITALIER BLOIS SIMONE VEIL
265613372;CENTRE HOSPITALIER BRETAGNE ATLANTIQUE
200030153;CENTRE HOSPITALIER BUECH DURANCE
261927206;CENTRE HOSPITALIER COEUR DE CORREZE
261600340;CENTRE HOSPITALIER D ANGOULEME
268900057;CENTRE HOSPITALIER D AUXERRE
266209253;CENTRE HOSPITALIER D'ARRAS
262405632;CENTRE HOSPITALIER DE BERGERAC
263400111;CENTRE HOSPITALIER DE BEZIERS
261100028;CENTRE HOSPITALIER DE CARCASSONNE
269733028;CENTRE HOSPITALIER DE CAYENNE
265100016;CENTRE HOSPITALIER DE CHALONS
262800048;CENTRE HOSPITALIER DE CHARTRES
265906818;CENTRE HOSPITALIER DE DENAIN
262309602;CENTRE HOSPITALIER DE GUERET
266405679;CENTRE HOSPITALIER DE LA COTE BASQUE
260208715;CENTRE HOSPITALIER DE LAON
265906958;CENTRE HOSPITALIER DE MAUBEUGE
229850011;CENTRE HOSPITALIER DE MAYOTTE
264500224;CENTRE HOSPITALIER DE MONTARGIS
268200078;CENTRE HOSPITALIER DE MONTAUBAN
267900017;CENTRE HOSPITALIER DE NIORT
266405521;CENTRE HOSPITALIER DE PAU
262405806;CENTRE HOSPITALIER DE PERIGUEUX
200076305;CENTRE HOSPITALIER DE PLAISIR
262200090;CENTRE HOSPITALIER DE SAINT-BRIEUC, PAIMPOL ET TREGUIER
268900230;CENTRE HOSPITALIER DE SENS
261000020;CENTRE HOSPITALIER DE TROYES
265906735;CENTRE HOSPITALIER DE VALENCIENNES
267802718;CENTRE HOSPITALIER DE VERSAILLES
269201547;CENTRE HOSPITALIER DES QUATRE VILLES
264302845;CENTRE HOSPITALIER DU PUY
200063451;CENTRE HOSPITALIER DU SUD SEINE-ET-MARNE
261903108;CENTRE HOSPITALIER DUBOIS BRIVE
262000094;CENTRE HOSPITALIER GENERAL DE BASTIA
266006972;CENTRE HOSPITALIER GENERAL DE BEAUVAIS
260208616;CENTRE HOSPITALIER GENERAL ST QUENTIN
268502416;CENTRE HOSPITALIER GEORGES MAZURELLE
262200025;CENTRE HOSPITALIER GUINGAMP
268300084;CENTRE HOSPITALIER HENRI GUERIN
261502843;CENTRE HOSPITALIER HENRI MONDOR
269302618;CENTRE HOSPITALIER INTERCOM GREGOIRE
264004284;CENTRE HOSPITALIER INTERCOMMUNAL DE MONT DE MARSAN ET DU PAYS DES SOURCES
261800072;CENTRE HOSPITALIER JACQUES COEUR
260300264;CENTRE HOSPITALIER JACQUES LACARIN
263900052;CENTRE HOSPITALIER JURA-SUD
267100287;CENTRE HOSPITALIER LES CHANAUX
200050292;CENTRE HOSPITALIER METROPOLE SAVOIE
269742318;CENTRE HOSPITALIER OUEST REUNION
263800062;CENTRE HOSPITALIER PIERRE OUDOT
260600705;CENTRE HOSPITALIER REGIONAL
261300081;CENTRE HOSPITALIER REGIONAL DE MARSEIL
200042166;CENTRE HOSPITALIER REGIONAL DE NANCY
262200082;CENTRE HOSPITALIER RENE PLEVEN
200027233;CENTRE HOSPITALIER RIVES DE SEINE
269100046;CENTRE HOSPITALIER SUD FRANCILIEN
268000148;CENTRE HOSPITALIER UNIVERSITAIRE AMIENS
261400931;CENTRE HOSPITALIER UNIVERSITAIRE CAEN
264500091;CENTRE HOSPITALIER UNIVERSITAIRE D ORLEANS
265100057;CENTRE HOSPITALIER UNIVERSITAIRE REIMS
267601680;CENTRE HOSPITALIER UNIVERSITAIRE ROUEN
263700189;CENTRE HOSPITALIER UNIVERSITAIRE TOURS
262600133;CENTRE HOSPITALIER VALENCE
200039782;CENTRE HOSPITALIER VERDUN SAINT MIHIEL
269501631;CENTRE HOSPITALIER VICTOR DUPOUY
263500068;CENTRE HOSPITALIER VITRE
267100766;CENTRE HOSPITALIER WILLIAM MOREY
347623951;CENTRE INFORMATIQUE DE TELESURVEILLANCE ET TELEGESTION PRIVEE
200018091;CENTRE INTERCOM ACTION SOC GRAND DAX
775665912;CENTRE NATIONAL D'ETUDES SPATIALES
187500061;CENTRE REGIONAL OEUVRES UNIV SCOLAIRES
857200521;CENTRE SPECIALITES PHARMACEUTIQUES
831544770;CENTREX OUTREMER
425070505;CENTURYLINK FRANCE
775644867;CEPOVETT
808640148;CERBA HEALTHCARE GESTION
419397104;CERELIA
381960491;CERESIA
808558415;CERIZ
414897306;CERMIX
493265284;CERP
495780348;CERP BRETAGNE ATLANTIQUE
326093143;CERTI DE BRETAGNE NORMANDIE
802053397;CERTIFER SA
264900614;CESAME CTRE DE SANTE MENTALE ANGEVIN
552088536;CEVA AIR & OCEAN INTERNATIONAL SE
301763405;CEVA SANTE ANIMALE
529809188;CFAO MOTORS REUNION
228500013;CG 85
805113156;CG COMMUNICATIONS
702042755;CGI FRANCE
381843903;CGSH SERVICE EUROPE
200029320;CH PAYS D AIX CHI AIX PERTUIS
312153810;CHABAS
424235018;CHAM
130020688;CHAMB METIERS ARTISANAT REG PAYS LOIRE
185300449;CHAMBRE COMMERCE ET INDUSTRIE LA MAYEN
183400068;CHAMBRE COMMERCE INDUSTRIE MONTPELLIER
189742117;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA REUNION
337989610;CHAMBRE SYNDIC ENSEIG PRIVE A DISTANCE
351306022;CHAMPAGNE LAURENT-PERRIER
542052766;CHANEL
546950379;CHARAL
200070639;CHARENTE NUMERIQUE
824500573;CHARENTE-MARITIME TRES HAUT DEBIT
390474898;CHARGEURS
444389183;CHATEAU LA COSTE PARTICIPATION
342966942;CHAUMET INTERNATIONAL SA.
330267691;CHAUSSEA SAS
528648892;CHAUSSON MATERIAUX
572075836;CHAUVIN ARNOUX
268502424;CHD LA ROCHE SUR YON LUCON MONTAIGU
538646944;CHEMINS DE FER DE LA CORSE
415050681;CHEOPS TECHNOLOGY FRANCE
313075038;CHEVAL TP
262200074;CHG PIERRE LE DAMANY LANNION TRESTEL
263500126;CHI REDON CARENTOIR
268300126;CHI TOULON LA SEINE SUR MER
821320041;CHINA MOBILE INT FRANCE (CMI FRANCE)
794328757;CHINA TELECOM (FRANCE) LIMITED
831807904;CHINA UNICOM (EUROPE) OP LIMITED
482922812;CHMURTZ
612035832;CHRISTIAN DIOR COUTURE
843269069;CHRONODISK
383960135;CHRONOPOST
262501760;CHU BESANCON
266307461;CHU CLERMONT- FERRAND
264400136;CHU NANTES
264200304;CHU SAINT ETIENNE
450327374;CHUBB EUROPEAN GROUP LIMITED
200006799;CIAS COEUR LOZERE
313642548;CIE FINANCIERE PARTICIPATIONS ROULLIER
353575053;CIE FONCIERE FINANC D INVEST IMMOB
552118465;CIE IBM FRANCE
302565049;CIE INVEST INDUST COMMERCIAUX CIIC
480351063;CIE NANTAISE SECURITE INFORMATIQUE
384989208;CIE PHOCEENNE D EQUIPEMENTS MULTISITES
456201094;CIE VINS BX ET GIRONDE DOURTHE KRESSMA
352247225;CIENUM
780561403;CIEPIELA ET BERTRANUC
415188903;CIMUT
302205356;CIR
390072551;CIRCET
305163040;CIRIL GROUP
312261894;CIS BIO INTERNATIONAL
410100747;CIS VALLEY
388380073;CITEO
538614397;CITIZEN CALL
393707153;CITY ONE
432440147;CITY REACH INTERNATIONAL FRANCE
380435248;CITYA IMMOBILIER
843934696;CITYFAST
833494842;CITYPROTECT
572050334;CITYZ MEDIA
509006433;CIVIS TELECOM
397501917;CJP
887827236;CL HOSTING
887827236;CL HOSTING
327034955;CL NORD
513435321;CL SYSTEMS
398793935;CLAMA DE LA POTERIE ST AARON
419632286;CLARANET
433507787;CLARANET OXALIDE
330589755;CLARINS
842474058;CLEAN BIOLOGICS
432370526;CLEAN CELLS
808581722;CLEMENTIER
491352324;CLERMONT COMMUNAUTE NETWORKS
152000014;CLIENT N
150000206;CLIENT O
390301588;CLIFFORD CHANCE
440838597;CLINIQUE DE L'ANJOU
307167254;CLINIQUE READAPT FONCTIO FEUILLADES
968802249;CLINIQUE SAINT-GEORGE
425102936;CLINIQUES D'AJACCIO
890811094;CLOUD TELECOM
381737535;CLUB INTERNET
415099050;CLUB INTERNET
562024422;CMA CGM
441213261;CMA CGM AGENCES FRANCE
493732713;CMA SYSTEMS
794464404;CMP TOPO
451470348;CMRP
491061966;CNDSSTI
784295248;CNET SAGIC SERVICE ADMINISTRATIF
341737062;CNP ASSURANCES
422682583;CODEPI
338767296;CODRA INGENIERIE INFORMATIQUE
325307106;COFIDIS
410620660;COFINTEX 6 S.A
445621048;COFRAC
424932903;COGEDIM ENTREPRISE
380375097;COGEDIM GESTION
429165541;COGENT COMMUNICATIONS FRANCE
400833596;COGEP
390912319;COGEWEB
341964963;COGIPAR
200076958;COLLECTIVITE DE CORSE
219711231;COLLECTIVITE DE SAINT BARTHELEMY
200052678;COLLECTIVITE TERRITORIALE DE GUYANE
194400800;COLLEGE JEAN MONNET
378077614;COLOMBIA
425092228;COLPE
402628838;COLT TECHNOLOGY SERVICES
382840940;COMCABLE
478562481;COMEARTH
780385829;COMITE INTERPROFESSIONNEL DU VIN DE CHAMPAGNE
775669732;COMITE NAT SECURITE USAGERS ELECTRICIT
309954956;COMITE NATIONAL DES ACTIONS SOCIALES
404133183;COMLIGHT
807654439;COMLINK
243300563;COMM AGGL ARCACHON SUD POLE ATLANTIQUE
241300417;COMM AGLO ARLES CRAU CAMARGUE
907880520;COMMEETT
775685019;COMMISSARIAT A ENERGIE ATOMIQUE
453066771;COMM-IT
243400769;COMMUNAUTE AGGLO BEZIERS MEDITERRANEE
243400819;COMMUNAUTE AGGLO HERAULT MEDITERRANEE
243000643;COMMUNAUTE AGGLO NIMES METROPOLE
245701362;COMMUNAUTE AGGLO PORTES DE FRANCE
245901160;COMMUNAUTE AGGLO VALENCIENNES METROPOL
247800584;COMMUNAUTE AGGLO VERSAILLES GRAND PARC
200049187;COMMUNAUTE AGGLOMERATION GRAND VERDUN
200073419;COMMUNAUTE AGGLOMERATION PUY EN VELAY
249100470;COMMUNAUTE AGGLOMERATION SEINE ESSONNE
248600447;COMMUNAUTE COM DU PAYS LOUDUNAIS
243100799;COMMUNAUTE COM DU SAINT GAUDINOIS
243301405;COMMUNAUTE COM DU VAL DE L EYRE
243301165;COMMUNAUTE COM JALLE EAU BOURDE
244000865;COMMUNAUTE COM MAREMNE ADOUR COTE SUD
243700465;COMMUNAUTE COMMUNES LOCHES DEVELOPPEMENT
244000675;COMMUNAUTE D AGGLOMERATION GRAND DAX
242500361;COMMUNAUTE D AGGLOMERATION GRD BESANCO
246401723;COMMUNAUTE D AGGLOMERATION PAU PYRENEES
244800405;COMMUNAUTE DE COMMUNES COEUR DE LOZERE
243801073;COMMUNAUTE DE COMMUNES DE BIEVRE EST
243301264;COMMUNAUTE DE COMMUNES DE MONTESQUIEU
200050532;COMMUNAUTE DE COMMUNES DE PETITE TERRE
244400503;COMMUNAUTE DE COMMUNES D'ERDRE GESVRES
245701206;COMMUNAUTE DE COMMUNES DU SAULNOIS
130028079;COMMUNAUTE D'UNIVERSITES ET ETABLISSEMENTS UNIVERSITE PARIS-EST
217701234;COMMUNE COMPANS
217300110;COMMUNE D ALBERTVILLE
210100046;COMMUNE D AMBERIEU-EN-BUGEY
215700196;COMMUNE D AMNEVILLE
211300041;COMMUNE D ARLES
211300058;COMMUNE D AUBAGNE
219103124;COMMUNE D IGNY
211201769;COMMUNE D ONET LE CHATEAU
213300049;COMMUNE D'AMBES
214900078;COMMUNE D'ANGERS
213300130;COMMUNE D'ARTIGUES PRES BORDEAUX
216300038;COMMUNE DE AMBERT
214200131;COMMUNE DE BELLEGARDE EN FOREZ
216201087;COMMUNE DE BERCK
213500242;COMMUNE DE BETTON
200084457;COMMUNE DE BOIS-DE-HAYE
219300100;COMMUNE DE BONDY
211300157;COMMUNE DE BOUC BEL AIR
219200128;COMMUNE DE BOULOGNE-BILLANCOURT
215701020;COMMUNE DE BOUSSE
211401179;COMMUNE DE CABOURG
219400165;COMMUNE DE CACHAN
213000623;COMMUNE DE CALVISSON
211301197;COMMUNE DE CARNOUX EN PROVENCE
217801240;COMMUNE DE CARRIERES-SUR-SEINE
213301229;COMMUNE DE CESTAS
211600788;COMMUNE DE CHAMPNIERS
214500829;COMMUNE DE CHATEAUNEUF SUR LOIRE
218600666;COMMUNE DE CHATELLERAULT
212101711;COMMUNE DE CHEVIGNY-SAINT-SAUVEUR
215501172;COMMUNE DE CLERMONT EN ARGONNE
219300142;COMMUNE DE CLICHY-SOUS-BOIS
216900639;COMMUNE DE COLLONGES AU MONT D OR
219300159;COMMUNE DE COUBRON
219400280;COMMUNE DE CRETEIL
217001965;COMMUNE DE DAMPIERRE LES CONFLANS
214000887;COMMUNE DE DAX
200008787;COMMUNE DE DEMBENI
215401977;COMMUNE DE FLEVILLE DEVANT NANCY
219200326;COMMUNE DE FONTENAY AUX ROSES
211300397;COMMUNE DE FOS SUR MER
219502523;COMMUNE DE FRANCONVILLE
210203212;COMMUNE DE GAUCHY
215702697;COMMUNE DE GUENANGE
213301997;COMMUNE DE GUJAN MESTRAS
217802990;COMMUNE DE HARDRICOURT
217803113;COMMUNE DE HOUILLES
200008811;COMMUNE DE KOUNGOU
218501914;COMMUNE DE LA ROCHE-SUR-YON
213305295;COMMUNE DE LA TESTE DE BUCH
213302276;COMMUNE DE LANGON
210203873;COMMUNE DE LAON
215301300;COMMUNE DE LAVAL
214300519;COMMUNE DE LE CHAMBON SUR LIGNON
214301574;COMMUNE DE LE PUY EN VELAY
213302383;COMMUNE DE LEOGNAN
215301193;COMMUNE DE L'HUISSERIE
213302433;COMMUNE DE LIBOURNE
219103454;COMMUNE DE LONGJUMEAU
213302490;COMMUNE DE LORMONT
218601375;COMMUNE DE LOUDUN
215704222;COMMUNE DE LOUVIGNY
217102706;COMMUNE DE MACON
219400462;COMMUNE DE MAISONS ALFORT
200008837;COMMUNE DE MAMOUDZOU
211300553;COMMUNE DE MARSEILLE
214800955;COMMUNE DE MENDE
219503943;COMMUNE DE MERY SUR OISE
216703009;COMMUNE DE MOLSHEIM
213501893;COMMUNE DE MONTGERMONT
219504289;COMMUNE DE MONTMORENCY
215801937;COMMUNE DE NEUVY SUR LOIRE
219300514;COMMUNE DE NOISY LE GRAND
215705120;COMMUNE DE NOUILLY
213502107;COMMUNE DE PACE
215705328;COMMUNE DE PAGNY LES GOIN
219105145;COMMUNE DE QUINCY SOUS SENART
215705724;COMMUNE DE REMILLY
213502388;COMMUNE DE RENNES
219300647;COMMUNE DE ROSNY-SOUS-BOIS
219105335;COMMUNE DE SACLAS
219200649;COMMUNE DE SAINT CLOUD
213702145;COMMUNE DE SAINT CYR SUR LOIRE
211802079;COMMUNE DE SAINT FLORENT SUR CHER
217805514;COMMUNE DE SAINT GERMAIN EN LAYE
213304223;COMMUNE DE SAINT JEAN D ILLAC
212803480;COMMUNE DE SAINT LUBIN DES JONCHERETS
216902908;COMMUNE DE SAINT PRIEST
214801409;COMMUNE DE SAINT-CHELY-D APCHER
213303977;COMMUNE DE SAINTE EULALIE
213402613;COMMUNE DE SAINT-GUILHEM-LE-DESERT
216802975;COMMUNE DE SAINT-LOUIS
213304983;COMMUNE DE SALLES
215706474;COMMUNE DE SEREMANGE ERZANGE
213403017;COMMUNE DE SETE
213105471;COMMUNE DE SEYSSES
214003048;COMMUNE DE SOORTS HOSSEGOR
212106173;COMMUNE DE TALANT
219400736;COMMUNE DE THIAIS
211003744;COMMUNE DE TROYES
213403207;COMMUNE DE VAILHAUQUES
215505454;COMMUNE DE VERDUN
217806462;COMMUNE DE VERSAILLES
219300779;COMMUNE DE VILLEMOMBLE
215900093;COMMUNE DE VILLENEUVE D ASCQ
219300787;COMMUNE DE VILLEPINTE
215405804;COMMUNE DE VILLERUPT
217806819;COMMUNE DE VILLIERS LE MAHIEU
219722311;COMMUNE DES TROIS-ILETS
213301625;COMMUNE D'EYSINES
215703232;COMMUNE D'HETTANGE GRANDE
217704261;COMMUNE SAINT MERY
214002792;COMMUNE SAINT PAUL LES DAX
441996279;COMMUNICATION INTERACTIVE
383094695;COMMUNICATION NETWORKING SCES FRANCE
805327806;COMMUNICATION OCEAN INDIEN
300500162;COMMUNICATION VIDEOTEX FRANCE
531657963;COMMUNICATION@MARKETING
351746664;COMMUNICATIONS 91
841006067;COMNOT
502352602;COMOSEO
542039532;COMPAGNIE DE SAINT-GOBAIN
390982635;COMPAGNIE INDUSTRIELLE MARITIME
572073914;COMPAGNIE MARSEILLAISE DE MADAGASCAR
632041042;COMPASS GROUP FRANCE
402325252;COMPASS GROUP HOLDINGS PLC
418299699;COMPLETEL SAS
775640865;COMPTOIR AGRICOLE ACHAT VENTE
319883344;COMPTOIR ELECTRIQUE FRANCAIS
542053285;COMPTOIR NOUVEAU DE LA PARFUMERIE
388734568;COMPUTACENTER FRANCE
803363274;COMPUTER FINANCE
130004062;COMUE AQUITAINE
130003734;COMUE UNIVERSITE PARIS EST
130021454;COMUE UNIVERSITE PARIS EST
330423815;CONCENTRIX PAYMENT SERVICES FRANCE SAS
431977370;CONCENTRIX S.A.S. FRANCE
582056511;CONCES FRANC CONST EXPL TUN MONT BLANC
306386368;CONDUCTIX - WAMPFLER
331998401;CONEX
352732465;CONEXDATA
824679815;CONEXIO TELECOM
824586002;CONFLUENCE
535420533;CONFRAT EXPLOIT ET REPART PHARMACEUTIQ
834329336;CONNECT 76
903524932;CONNECT GRAND PARIS
529063158;CONNECTEL
498405695;CONNECTIC 39
453392474;CONNECTICS
804258192;CONNECTIVE-IT
488658733;CONNEX IT
788624955;CONNEXION TELECOM
848895173;CONNEXY
221800014;CONSEIL DEPARTEMENTAL 18
226100014;CONSEIL DEPARTEMENTAL DE L'ORNE
110000270;CONSEIL D'ETAT
222702292;CONSEIL GENERAL 27
224500017;CONSEIL GENERAL 45
225005024;CONSEIL GENERAL 50
391576964;CONSEIL NATIONAL DES BARREAUX
233500016;CONSEIL REGIONAL DE BRETAGNE
379311657;CONSEIL RESEAU TELE INFORMATIQUE
197534712;CONSERVATOIRE NATIONAL ARTS METIERS
672014081;CONSTELLIUM ISSOIRE
314722026;CONTINENTAL AUTOMOTIVE FRANCE
394479034;CONTITRADE FRANCE
885181180;COOL TELECOM
775714991;COOP AGRICOL VENDEE APPROV VENTE CEREA
775588460;COOP ELECTRIQUE DE ST MARTIN DE LONDR
399227636;COOPERATION PHARMACEUTIQUE FRANCAISE
777588302;COOPERATIVE EVEN
304602956;COOPERATIVE U
786920306;CORA
420075244;CORASO
421181819;CORDEN PHARMA CHENOVE
432371342;CORDON ELECTRONICS
419368055;CORIOLIS SA
419735741;CORIOLIS TELECOM SAS
844052506;CORSICA FIBRA
432706265;CORSICA HAUT DEBIT
815243852;CORSICA LINEA
750414021;CORSICA NETWORKS
532116183;CORSICALINK NETWORKS
433427572;CORTEVA HOLDING FRANCE SAS
511342099;COSEL
975620675;COSMETIQUE ACTIVE PRODUCTION
513637918;COSTCO FRANCE
491927554;COT VAL HERS NETWORKS - COVAL NETWORKS
892298324;COUGNAUD
310601687;COUGNAUD CONSTRUCTION
110000288;COUR DES COMPTES
825128176;COVAGE 92
894565431;COVAGE INFRA
499911865;COVAGE SERVICES
495007734;COVEA AGORA
364800060;COVIVIO
431924505;COWES
480453638;CPRT COMMERC PROD RESEAUX TELECOM
382285260;CRAMA PARIS VAL DE LOIRE
521320408;CREDIT AGRIC TECHNOLOGIES ET SCE
312044050;CREDIT AGRICOLE CENTRALE TITRES DE MER
380867978;CREDIT AGRICOLE IMMOBILIER
519156772;CREDIT AGRICOLE IMMOBILIER FACILITIES
732073887;CREDIT AGRICOLE IMMOBILIER PROPERTY MANAGEMENT
692029457;CREDIT AGRICOLE LEASING & FACTORING
320421159;CREDIT AGRICOLE PROTECTION SECURITE
784608416;CREDIT AGRICOLE SA
317781128;CREDIT AGRICOLE TITRES
840434740;CREDIT AGRICOLE-GRP INFRASTRUCT PLATFORM
568501282;CREDIT FONCIER ET COMMUNAL A L-BANQUE
954509741;CREDIT LYONNAIS
809190598;CREDIT PLUS
478354202;CREUSOT MONTCEAU NETWORKS
750366544;CRH
383599990;CRIANN
422308890;CRISSCROSS COMMUNICATIONS FRANCE SAR
520101247;CRISTAL GROUPE INTERNATIONAL
334180692;CRITEL
409709342;CRM 80
309181329;CRM INFORMATIQUE
477909436;CRMSERVICES
422250845;CROMOLOGY IT
947252029;CRYOSTAR SAS
984640441;CRYPTEO NET
982241366;CS2R AVALABILITY SERVICES
775557226;CSE AIRBUS HELICOPTERS
933216475;CT INFRA
775508146;CTE INTERENTREPRISES HYGIENE LOIRET
879879260;C-TECHNOLOGY
531648632;CTEKY
269201380;CTRE D'ACCUEIL DE SOINS HOSP NANTERRE
775675549;CTRE DE FORMATION DE LA PROFESS BANCAI
284800026;CTRE DEP GESTION FONCTION PUB TERRITOR
266405612;CTRE HOSP DES PYRENEES PAU PSYCHIATRIE
268708518;CTRE HOSP ET UNIVERSITAIRE DE LIMOGES
200047835;CTRE HOSP GRPE HOSP ROCHELLE RE AUNIS
200011203;CTRE HOSP INTERCOM AGGLO NEVERS
262903610;CTRE HOSP INTERCOMMUNAL DE CORNOUAILLE
200029445;CTRE HOSP INTERCOMMUNAL EMILE DURKHEIM
262708746;CTRE HOSP INTERCOMMUNAL EURE SEINE
262000060;CTRE HOSP NOTRE DAME DE LA MISERICORDE
269733119;CTRE HOSP OUEST GUYANAIS FRANCK JOLY
200023059;CTRE HOSP REGIONAL UNIVERSITAIRE BREST
264900036;CTRE HOSP UNIVERSITAIRE D ANGERS
262100076;CTRE HOSP UNIVERSITAIRE DE DIJON
200030013;CTRE HOSP UNIVERSITAIRE DE LA REUNION
265906719;CTRE HOSP UNIVERSITAIRE DE LILLE
263400160;CTRE HOSP UNIVERSITAIRE DE MONTPELLIER
200055358;CTRE HOSP UNIVERSITAIRE DE POITIERS
263800302;CTRE HOSP UNIVERSITAIRE GRENOBLE ALPES
200034528;CTRE HOSP UNIVERSITAIRE MARTINIQUE
269710414;CTRE HOSPITAL REGION UNIVERSIT GUADELO
260600150;CTRE HOSPITALIER ANTIBES JUAN LES PINS
263000010;CTRE HOSPITALIER DE BAGNOLS SUR CEZE
260600200;CTRE HOSPITALIER DE CANNES SIMONE VEIL
269710877;CTRE HOSPITALIER DE LA BASSE-TERRE
200047819;CTRE HOSPITALIER DE LA HAUTE COTE D OR
265400101;CTRE HOSPITALIER DE NANCY
261700025;CTRE HOSPITALIER DE SAINTONGE
262800170;CTRE HOSPITALIER DREUX VICTOR JOUSSELIN
267901213;CTRE HOSPITALIER DU NORD DEUX-SEVRES
260503479;CTRE HOSPITALIER INTERCOM ALPES DU SUD
269301164;CTRE HOSPITALIER INTERCOMM R BALLANGER
260303839;CTRE HOSPITALIER MOULINS YZEURE
263500076;CTRE HOSPITALIER UNIVERS PONTCHAILLOU
781840806;CTRE RECHERCHE INFORMAT DOCUM NOTARIAL
300796257;CTRE REG INFORMATIQUE ORGANISMES SOCIA
301254199;CTRE REG RESSOURCES ALPES MEDIT C2R
378499073;CTS COMPUTERS AND TELECOM SYSTEMS
244900015;CU ANGERS LOIRE METROPOLE
247100290;CU LE CREUSOT MONTCEAU-LES-MINES
812773091;CUBIC TELECOM FRANCE
421288713;CUMFIN
818993024;CURIUM HOLDING FRANCE
948063367;CYANET
403514797;CYBEROFFICE
337958698;CYLLENE ITS
501216378;D2 CAM
444722169;D3 TELECOM
329118087;DACHARD
546650334;DACHSER FRANCE
440383503;DAHER SYSTEMES INTEGRES
967501065;DAIKIN AIRCONDITIONING FRANCE
483487112;DAILYMOTION
892380031;DALKIA ELECTROTECHNICS
066201120;DALKIA FROID SOLUTIONS
333202083;DAMART
402674329;DANISCO FRANCE
552032534;DANONE
672039971;DANONE PRODUITS FRAIS FRANCE
345133128;DARVA
712042456;DASSAULT AVIATION
679801886;DASSAULT FALCON SERVICE
322306440;DASSAULT SYSTEMES
799902051;DATACAMPUS
422165670;DATA-ONE
534989611;DATAXION
419964010;DAUPHIN TELECOM
851038976;DAUPHIN TELECOM INFRASTRUCTURE
508211786;DAVID GALINSKY HAGEN
483898672;DAVIDSON CONSULTING
421323056;DAYANAA TELECOM SERVICES SA
480890656;DB CARGO FRANCE
529626822;DCFORDATA
402225155;DDO ORGANISATION
850144858;DE RAW
389779117;DEBITEL FRANCE
514139799;DEBITEX TELECOM
831518808;DECKNET
518585807;DECLIC TELECOM
478848930;DEDALOS
615680089;DELABIE
450152517;DELASOURCE
518745849;DELEGATION FR DE LA FONDATION AKDN
339958951;DELICE ET CREATION CENTRALE
351528229;DELL
410621197;DELMAS INVESTISSEMENTS ET PARTICIPATIO
645680026;DELPEYRAT
492235734;DELTA COM
897080289;DELTA DORE
484786959;DELTA INVESTISSEMENTS
404306771;DELTA MULTIMEDIA EUROPE S.A
802963017;DEMATEL
971502513;DEMENAGEMENTS FONTAINE
451540504;DEMO ECE - OP ENT 1
222100018;DEPARTEMENT DE COTE D OR
220700017;DEPARTEMENT DE L ARDECHE
221000052;DEPARTEMENT DE L AUBE
221200017;DEPARTEMENT DE L AVEYRON
229102280;DEPARTEMENT DE L' ESSONNE
223400011;DEPARTEMENT DE L HERAULT
223800012;DEPARTEMENT DE L ISERE
221600018;DEPARTEMENT DE LA CHARENTE
223300013;DEPARTEMENT DE LA GIRONDE
229730015;DEPARTEMENT DE LA GUYANE FRANCAISE
223100017;DEPARTEMENT DE LA HAUTE GARONNE
224300012;DEPARTEMENT DE LA HAUTE LOIRE
227400017;DEPARTEMENT DE LA HAUTE SAVOIE
225200013;DEPARTEMENT DE LA HAUTE-MARNE
224400028;DEPARTEMENT DE LA LOIRE-ATLANTIQUE
224800011;DEPARTEMENT DE LA LOZERE
225300011;DEPARTEMENT DE LA MAYENNE
225700012;DEPARTEMENT DE LA MOSELLE
227300019;DEPARTEMENT DE LA SAVOIE
228600011;DEPARTEMENT DE LA VIENNE
220200026;DEPARTEMENT DE L'AISNE ( CD 02)
220900013;DEPARTEMENT DE L'ARIEGE
226000016;DEPARTEMENT DE L'OISE (CD 60)
228900015;DEPARTEMENT DE L'YONNE
229850003;DEPARTEMENT DE MAYOTTE
227100013;DEPARTEMENT DE SAONE ET LOIRE
220800049;DEPARTEMENT DES ARDENNES
221300015;DEPARTEMENT DES BOUCHES DU RHONE
222200016;DEPARTEMENT DES COTES D'ARMOR
227900016;DEPARTEMENT DES DEUX SEVRES
229200506;DEPARTEMENT DES HAUTS-DE-SEINE
224000018;DEPARTEMENT DES LANDES
226400018;DEPARTEMENT DES PYRENEES ATLANTIQUES
226600013;DEPARTEMENT DES PYRENEES-ORIENTALES
222900011;DEPARTEMENT DU FINISTERE
223900010;DEPARTEMENT DU JURA
225600014;DEPARTEMENT DU MORBIHAN
228100012;DEPARTEMENT DU TARN
491974861;DERICHEBOURG ENVIRONNEMENT
444529531;DERICHEBOURG MULTISERVICES HOLDING
341816064;DESMAZIERES
453075848;DESTINY FRANCE ENTREPRISES
482858339;DESTINY FRANCE PARTENAIRES
802775411;DEUERER PETCARE FRANCE
310327481;DEUTSCHE BANK AKTIENGESELLSCHAFT
880138326;DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS FRANCE SAS
378829766;DEUTSCHE TELEKOM SAS
484100243;DEVCLIC
420015075;DEVELOPPEMENT DES NOUVELLES TECHNOLOGI
498995489;DEVOPSYS
402968655;DEVOTEAM
493241582;DEVOTEAM G MAPS
443486667;DEVOTEAM OUTSOURCING
390037356;DHL BEZIERS
590200770;DHL HOLDING (FRANCE) SAS
494956774;DHL INTERNATIONAL EXPRESS (FRANCE)
890971948;DHOMPLUS
